File,Title,Comments,Tags
2012:04:08T16:02:51-053.jpg,Cynthia: Easter 2012,Taken about a month after I got my first ILC,p.cv;lens.wide-angle.distorted;nature.plants.trees
2012:10:13T12:06:04-09954.jpg,Soccer game,Very lucky shot,p.e;rec.sports.soccer;cam.motion-blur
2013:11:16T14:58:17-13403-u.jpg,Forest Arthur,By the rail trail,p.a;nature.plants.trees
2013:12:25T08:24:15-13552c-u-01.jpg,Gabi and the olives,Christmas,p.gmv;silly
2014:05:26T13:31:34-15782-m.jpg,Cynthia with a kite,At Crane Beach,p.cv;rec.kites;nature.beach.sand;nature.water.ocean
2015:06:29T19:39:16-1436-u.jpg,Branch and moon,At Hancock,nature.plants.trees;nature.sky.blue;nature.astro.moon
2015:11:25T10:18:58-IMG_0283.jpg,Athena yawning,,pets.athena;nature.animals.cats.yawning
2015:12:24T16:04:43-2542-u.jpg,The troll,A tree stump in the forest,nature.plants.trees.stumps;pareidolia.trolls
2016:01:03T15:52:13-2567-m-01.jpg,Peregrine at the ICA,,p.e;arts.visual.sculpture.modern
2016:10:08T13:06:02-IMG_0244.jpg,Cynthia at Corning,The Corning Glass Museum,p.cv;light.side.curved
2016:12:03T22:15-IMG_0322.jpg,On the Stairs,At my cousin's wedding,p.t.anne;soc.rituals.weddings
2017:05:09T18:11:00-IMG_0378.jpg,Bulb in a bulb,Side lit tulip,nature.plants.flowers.red.tulips;nature.plants.flowers.tulips.red;light.side
2017:06:08T20:25:00-P1060106.jpg,Kayak and cormorant,On the Charles,nature.water.river.charles;rec.sports.boating.kayak;nature.animals.birds.cormorant
2017:07:04T18:49:59-6705-u.jpg,After the rain,Frenchman Bay,nature.water.ocean.bay;nature.water.still;vehicles.boats.small.lobster;nature.sky.clouds
2017:07:05T21:21:57-6708-m.jpg,Moon on water,Frenchman Bay,nature.water.ocean.bay;nature.water.rippled;vehicles.boats.small.lobster;nature.sky.stars
2017:10:15T17:41:43-7108-u.jpg,Clover,,nature.plants.flowers.pink.clover;nature.plants.flowers.clover.pink
2018:03:31T13:27:01-FullSizeRender.jpg,Broken tulips,,nature.plants.flowers.tulips.orange;nature.plants.flowers.orange.tulips
2018:05:03T18:49:41-8330-m.jpg,Boston street,Near Beacon Hill,nature.sky.clouds;nature.sky.blue;photography.street
2018:08:06T20:42:36-s00557-u.jpg,All lit up,With LED fairy lights,nature.plants.flowers.tulips.red;nature.plants.flowers.red.tulips;lights.led.fairy
2018:08:13T16:00:47-s00644-m.jpg,Cynthia on the mountain,Near Stowe,nature.plants.trees;nature.sky.cloudy;nature.mountains
2018:08:14T10:18:10-s00656-u.jpg,Stream,Near Stowe,nature.water.streams;nature.plants.trees
2018:09:29T09:27:58-s01012-u.jpg,Pergola frame,,nature.plants.flowers.purple;nature.plants.vines.grape
2018:11:11T15:11:30-s01134-u.jpg,Plow,At Crane Beach,nature.beach.sand;nature.water.ocean;p.e;pareidolia.plow
2019:03:24T10:07:03-9314-m.jpg,Mom at the zoo,In NYC,p.cts;light.side;nature.plants.bushes
2019:04:11T20:58:21-s01496-u-sq.jpg,Glowing forsythia,,nature.plants.flowers.forsythia.yellow;nature.plants.flowers.yellow.forsythia;lights.led.fairy
2019:04:19T18:01:00-DSC01633.jpg,Tulip bed,In DC,nature.plants.flowers.tulips.various;nature.plants.flowers.various.tulips
2019:05:04T17:38:00-IMG_0620.jpg,Peach blossoms,,nature.plants.trees.peach;nature.plants.flowers.peach.pink;nature.plants.flowers.pink.peach;nature.sky.white
2019:05:19T18:00:44-s00969-u.jpg,Hanging flowers,Or something,nature.plants.trees;nature.plants.flowers.red
2019:06:17T19:38:42-IMG_0657.jpg,Garden work,,nature.plants.flowers.roses.red;nature.plants.flowers.red.roses;tools.gardening.wheelbarrow;tools.gardening.shovel
2019:06:22T14:20:12-s02520-u.jpg,Rose surrounded,,nature.plants.flowers.roses.red;nature.plants.flowers.red.roses;nature.plants.grass
2019:07:03T07:37:00-Snapseed.jpg,Heron taking flight,Frenchman Bay,nature.animals.birds.heron.liftoff;nature.water.ocean.bay;light.mirror
2019:07:07T16:18:24-s04192-u.jpg,Maroon,,nature.plants.flowers.maroon
2019:07:25T19:26:41-s04401-u.jpg,Shiny,,nature.plants.flowers.red
2019:08:03T10:18:33-FullSizeRender(1).jpg,Cynthia at the castle,Aberdour,arch.castles.ruined;p.cv;light.reflection
2019:08:03T15:15:21-s04610-u.jpg,Cynthia on the beach,Aberdour,p.cv;nature.beach.sand;nature.water.ocean.bay;nature.plants.trees
2019:08:06T03:16:20-s04826-u.jpg,Tower of Art,St. Andrew's,arch.cathedral.tower.lonely;arch.cathedral.ruined;nature.animals.birds.seagulls;nature.plants.trees
2019:09:28T16:21:37-IMG_2137.jpg,Milkweed,Late-day sun,nature.plants.milkweed;light.sun.late;light.side
2019:11:25T11:16:59-s05540-u.jpg,Gondola,Venice,nature.water.canal;nature.water.still;vehicles.boats.gondolas;light.reflection;nature.sky.blue;nature.sky.clouds
2020:01:12T15:10:06-s05777-u.jpg,Sunstar glasses,Limestone Quarry,p.e;light.sun.star;fashion.hair.purple
2020:02:04T17:17:30-s05944-u.jpg,Construct,Artwork in Sydney,arts.sculpture.modern;nature.plants.trees;nature.plants.grass;nature.sky.blue;nature.sky.clouds
2020:05:12T07:06:19-DSC01296.jpg,Looming tulips,,nature.plants.flowers.tulips.various;nature.sky.blue;camera.angle.low
2020:07:02T15:09:20-DSC06374.jpg,Into the woods,Entrance to a park,nature.plants.trees;light.shadows;path.forest
2020:09:04T18:30:00-IMG_2085.jpg,Streaming light,,p.e;nature.plants.trees;light.streaming;camera.film.leica.barnack
2020:09:17T12:54-s06934-m.jpg,Reaching flower,,nature.plants.flowers.purple;nature.plants.vines;light.back
2020:10:31T10:56:14-DSC07192-1.jpg,After the snow,,nature.plants.trees;nature.water.snow;nature.sky.blue;light.sun.star
2021:03:19T11:51:55-IMG_2176.jpg,Shadowed dog,Star,nature.animals.dogs;pets.star;light.sun;light.shadows
2021:04:08T12:14:31-s07701-u.jpg,Edge of empire,Walls of Old San Juan,arch.walls.city;arch.tower.stone;nature.plants.vines;nature.sky.blue;nature.sky.clouds
2021:04:18T09:44:07-DSC07755.jpg,Leaning flowers,,nature.plants.flowers.white;nature.plants.trees;nature.sky.blue;nature.sky.clouds
2021:05:01T10:55:34-s08020-u.jpg,Patience,Star on the couch,pets.star;nature.animals.dogs
2021:05:02T12:10:32-DSC08099-1.jpg,Gibbet Hill,,nature.plants.grass;nature.plants.trees;nature.sky.blue;nature.sky.clouds;light.bright
